subject,spam_label
Sprint 4552 planning meeting – Wed 11:30 AM,0
This Drug MELTS Fat – Why Aren’t You on It Yet? #875912,1
Re: Project status update for Q1 2024,0
This Drug MELTS Fat – Why Aren’t You on It Yet? ✅,1
Notes from today's lecture – ETL performance,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty (Limited Time)",1
Re: Question about ETL performance,0
Sprint 4463 planning meeting – Mon 11:30 AM,0
Meeting notes: Vanguard architecture review,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now!",1
Class registration confirmation – Data Structures,0
Notes from today's lecture – feature flags,0
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Sprint 3446 planning meeting – Thu 4:15 PM,0
Payment received – thank you,0
Calendar invite: 1:1 with Christin,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 #414546",1
Welcome to the portfolio assistant beta program,0
Your order #2385 has shipped,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) (Limited Time),1
The $1.9 trillion industry AI is about to demolish – Offer Ends Tonight,1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty – Offer Ends Tonight",1
The $1.9 trillion industry AI is about to demolish,1
Re: Question about LangChain agents,0
Open Source Is Leading the Next Wave — See the Future at Subsurface Live (Limited Time),1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! #719199",1
Payment received – thank you,0
Open Source Is Leading the Next Wave — See the Future at Subsurface Live #787749,1
Calendar invite: 1:1 with Lauren,0
Class registration confirmation – Data Structures,0
This Drug MELTS Fat – Why Aren’t You on It Yet? ✅,1
Board meeting agenda – September 2025,0
Class registration confirmation – Machine Learning 501,0
Family photos from our trip to New York,0
Family photos from our trip to Philadelphia,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty (Limited Time)",1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 – Offer Ends Tonight",1
Your old TV setup is outdated… try this 👇 #5290677042 ✅,1
Notes from today's lecture – Kubernetes scaling,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! #453901",1
GitHub: New sign-in from Germany,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual),1
Meeting notes: Internal Tools architecture review,0
Notes from today's lecture – Kubernetes scaling,0
AWS billing statement for May 2023,0
Zoom link for feature flags,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583 🔥,1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty (Limited Time)",1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! 🔥",1
Last Chance to Register — Subsurface Live Is Tomorrow,1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻",1
Payment received – thank you,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live ✅,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live 🔥,1
Performance review discussion – September,0
Assignment feedback for Data Structures,0
Welcome to the RAG search beta program,0
AWS billing statement for November 2023,0
GitHub: New sign-in from Singapore,0
Re: Question about Kubernetes scaling,0
Standup summary – Cricket Club Ops,0
GitHub: New sign-in from Singapore,0
Your old TV setup is outdated… try this 👇 #5290677042 #402152,1
Payment received – thank you,0
Reminder: Doctor appointment on 25/5/2023 at 11:30 AM,0
Your old TV setup is outdated… try this 👇 #5290677042 (Limited Time),1
Class registration confirmation – MBA 610,0
Your old TV setup is outdated… try this 👇 #5290677042 🔥,1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF,1
Standup summary – Cricket Club Ops,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! ✅",1
Sprint 7411 planning meeting – Tue 4:15 PM,0
This Drug MELTS Fat – Why Aren’t You on It Yet? #910418,1
Your order #1194 has shipped,0
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 #394101",1
Calendar invite: 1:1 with Lauren,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts – Offer Ends Tonight,1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts 🔥,1
Notes from today's lecture – LangChain agents,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF (Limited Time),1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty",1
Don't miss out on your free trial. ✅,1
Experience ultra-HD streaming at zero cost🎟️  #1264448583 – Offer Ends Tonight,1
This Drug MELTS Fat – Why Aren’t You on It Yet?,1
Performance review discussion – March,0
Family photos from our trip to Chennai,0
Your order #6559 has shipped,0
This Drug MELTS Fat – Why Aren’t You on It Yet? #350070,1
Board meeting agenda – October 2025,0
Class registration confirmation – MBA 610,0
Invoice #1497 for consulting services,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻",1
Re: Question about feature flags,0
Board meeting agenda – September 2024,0
Notes from today's lecture – feature flags,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts ✅,1
Your old TV setup is outdated… try this 👇 #5290677042 – Offer Ends Tonight,1
Standup summary – AI Platform,0
The dirty secret of financial newsletters – Offer Ends Tonight,1
Standup summary – Cricket Club Ops,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts,1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! – Offer Ends Tonight",1
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻",1
This Drug MELTS Fat – Why Aren’t You on It Yet? ✅,1
Notes from today's lecture – Kubernetes scaling,0
Your order #9804 has shipped,0
GitHub: New sign-in from Singapore,0
Re: Question about feature flags,0
Re: Project status update for Q2 2024,0
Class registration confirmation – Machine Learning 501,0
Assignment feedback for Operations Management,0
Re: Question about Kubernetes scaling,0
Assignment feedback for Operations Management,0
Family photos from our trip to New York,0
Last Chance to Register — Subsurface Live Is Tomorrow – Offer Ends Tonight,1
This Drug MELTS Fat – Why Aren’t You on It Yet? #497624,1
Notes from today's lecture – feature flags,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583 (Limited Time),1
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! 🔥",1
Standup summary – AI Platform,0
Family photos from our trip to London,0
The dirty secret of financial newsletters,1
Re: Question about feature flags,0
AWS billing statement for December 2023,0
Your order #3749 has shipped,0
Reminder: Doctor appointment on 23/9/2025 at 11:30 AM,0
Zoom link for feature flags,0
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Invoice #1444 for consulting services,0
The dirty secret of financial newsletters (Limited Time),1
Performance review discussion – June,0
Standup summary – Cricket Club Ops,0
Your old TV setup is outdated… try this 👇 #5290677042 (Limited Time),1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… ✅",1
Invoice #6294 for consulting services,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF 🔥,1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual),1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 🔥",1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts,1
Standup summary – Data Engineering,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583 🔥,1
Payment received – thank you,0
The dirty secret of financial newsletters – Offer Ends Tonight,1
Sprint 8994 planning meeting – Wed 2:00 PM,0
AWS billing statement for April 2023,0
This Drug MELTS Fat – Why Aren’t You on It Yet?,1
Re: Question about ETL performance,0
Last Chance to Register — Subsurface Live Is Tomorrow (Limited Time),1
This Drug MELTS Fat – Why Aren’t You on It Yet? (Limited Time),1
Board meeting agenda – September 2023,0
Don't miss out on your free trial. #606724,1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts 🔥,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained",1
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 #624458",1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF (Limited Time),1
Meeting notes: Vanguard architecture review,0
This Drug MELTS Fat – Why Aren’t You on It Yet? ✅,1
Notes from today's lecture – LangChain agents,0
Reminder: Doctor appointment on 17/2/2023 at 9:00 AM,0
Family photos from our trip to London,0
Board meeting agenda – August 2025,0
Welcome to the RAG search beta program,0
Standup summary – Cricket Club Ops,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻",1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻",1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF 🔥,1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻",1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ ✅,1
Class registration confirmation – Machine Learning 501,0
AWS billing statement for October 2024,0
Board meeting agenda – February 2023,0
Open Source Is Leading the Next Wave — See the Future at Subsurface Live,1
Don't miss out on your free trial. – Offer Ends Tonight,1
Reminder: Doctor appointment on 6/10/2023 at 11:30 AM,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts ✅,1
Invoice #1455 for consulting services,0
Welcome to the analytics dashboard beta program,0
Your old TV setup is outdated… try this 👇 #5290677042 🔥,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained ✅",1
Your old TV setup is outdated… try this 👇 #5290677042 🔥,1
Your old TV setup is outdated… try this 👇 #5290677042 (Limited Time),1
Meeting notes: Drexel architecture review,0
This Drug MELTS Fat – Why Aren’t You on It Yet?,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live 🔥,1
Don't miss out on your free trial. 🔥,1
AWS billing statement for July 2025,0
Last Chance to Register — Subsurface Live Is Tomorrow ✅,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live – Offer Ends Tonight,1
Re: Project status update for Q1 2025,0
Welcome to the DevOps toolkit beta program,0
Standup summary – Cloud Migration,0
The $1.9 trillion industry AI is about to demolish (Limited Time),1
Payment received – thank you,0
Your old TV setup is outdated… try this 👇 #5290677042 – Offer Ends Tonight,1
Standup summary – Cloud Migration,0
Welcome to the DevOps toolkit beta program,0
Re: Project status update for Q2 2024,0
Notes from today's lecture – LangChain agents,0
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Reminder: Doctor appointment on 28/6/2024 at 2:00 PM,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF – Offer Ends Tonight,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live #317673,1
Assignment feedback for Machine Learning 501,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty ✅",1
Performance review discussion – March,0
Sprint 3172 planning meeting – Mon 9:00 AM,0
AWS billing statement for February 2023,0
Class registration confirmation – Operations Management,0
The dirty secret of financial newsletters (Limited Time),1
Payment received – thank you,0
Welcome to the analytics dashboard beta program,0
This Drug MELTS Fat – Why Aren’t You on It Yet? (Limited Time),1
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 🔥",1
Last Chance to Register — Subsurface Live Is Tomorrow 🔥,1
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 🔥",1
Payment received – thank you,0
The $1.9 trillion industry AI is about to demolish #123233,1
Meeting notes: Data Platform Team architecture review,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty #728817",1
Sprint 5820 planning meeting – Tue 11:30 AM,0
Your old TV setup is outdated… try this 👇 #5290677042 ✅,1
Re: Question about feature flags,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583,1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 🔥",1
Assignment feedback for Machine Learning 501,0
AWS billing statement for November 2025,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) 🔥,1
Your order #9850 has shipped,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF #753111,1
Sprint 7278 planning meeting – Wed 9:00 AM,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty #675459",1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual),1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained #452374",1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 – Offer Ends Tonight",1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ ✅,1
Calendar invite: 1:1 with Christin,0
Welcome to the portfolio assistant beta program,0
Class registration confirmation – Operations Management,0
Welcome to the DevOps toolkit beta program,0
Last Chance to Register — Subsurface Live Is Tomorrow,1
Board meeting agenda – July 2025,0
Open Source Is Leading the Next Wave — See the Future at Subsurface Live 🔥,1
Your old TV setup is outdated… try this 👇 #5290677042 🔥,1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ (Limited Time),1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty #140646",1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ ✅,1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! #487381",1
Welcome to the RAG search beta program,0
AWS billing statement for March 2024,0
Class registration confirmation – Operations Management,0
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ – Offer Ends Tonight,1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect…",1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… – Offer Ends Tonight",1
Invoice #5385 for consulting services,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 🔥",1
Re: Project status update for Q4 2023,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty (Limited Time)",1
Reminder: Doctor appointment on 9/1/2023 at 2:00 PM,0
Board meeting agenda – February 2024,0
Standup summary – Data Engineering,0
Your order #8435 has shipped,0
Family photos from our trip to Philadelphia,0
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ 🔥,1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️,1
Performance review discussion – October,0
Class registration confirmation – Data Structures,0
Assignment feedback for Machine Learning 501,0
Welcome to the analytics dashboard beta program,0
Your old TV setup is outdated… try this 👇 #5290677042 🔥,1
Meeting notes: Data Platform Team architecture review,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 🔥",1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) (Limited Time),1
Sprint 1984 planning meeting – Thu 11:30 AM,0
Standup summary – Cloud Migration,0
Class registration confirmation – Data Structures,0
Invoice #5729 for consulting services,0
Standup summary – AI Platform,0
Class registration confirmation – Data Structures,0
Meeting notes: Internal Tools architecture review,0
Don't miss out on your free trial. #848018,1
Experience ultra-HD streaming at zero cost🎟️  #1264448583,1
The $1.9 trillion industry AI is about to demolish,1
Zoom link for ETL performance,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 (Limited Time)",1
This Drug MELTS Fat – Why Aren’t You on It Yet? ✅,1
Your old TV setup is outdated… try this 👇 #5290677042 🔥,1
Invoice #7785 for consulting services,0
Class registration confirmation – Operations Management,0
Family photos from our trip to Philadelphia,0
Welcome to the RAG search beta program,0
Reminder: Doctor appointment on 28/11/2025 at 4:15 PM,0
Performance review discussion – April,0
Class registration confirmation – Machine Learning 501,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts #112181,1
Welcome to the portfolio assistant beta program,0
Board meeting agenda – April 2024,0
Welcome to the portfolio assistant beta program,0
Zoom link for LangChain agents,0
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 #401451",1
Your old TV setup is outdated… try this 👇 #5290677042 – Offer Ends Tonight,1
Family photos from our trip to New York,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts ✅,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained ✅",1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect…",1
Payment received – thank you,0
Re: Project status update for Q1 2024,0
Standup summary – Data Engineering,0
Reminder: Doctor appointment on 20/7/2023 at 11:30 AM,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual),1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live #304698,1
Re: Question about feature flags,0
Don't miss out on your free trial. 🔥,1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) 🔥,1
Invoice #9699 for consulting services,0
Don't miss out on your free trial.,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live 🔥,1
Your old TV setup is outdated… try this 👇 #5290677042,1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts 🔥,1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 🔥",1
Class registration confirmation – Operations Management,0
Reminder: Doctor appointment on 11/1/2025 at 11:30 AM,0
Last Chance to Register — Subsurface Live Is Tomorrow #530778,1
Re: Question about feature flags,0
Your old TV setup is outdated… try this 👇 #5290677042 #553452,1
Calendar invite: 1:1 with Christin,0
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained – Offer Ends Tonight",1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained #143875",1
Last Chance to Register — Subsurface Live Is Tomorrow,1
Meeting notes: Data Platform Team architecture review,0
Performance review discussion – May,0
Assignment feedback for Operations Management,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty #620328",1
Meeting notes: Drexel architecture review,0
AWS billing statement for September 2024,0
This Drug MELTS Fat – Why Aren’t You on It Yet?,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained (Limited Time)",1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts #716242,1
The dirty secret of financial newsletters – Offer Ends Tonight,1
Meeting notes: Vanguard architecture review,0
Welcome to the portfolio assistant beta program,0
Re: Question about Kubernetes scaling,0
The dirty secret of financial newsletters ✅,1
Meeting notes: Data Platform Team architecture review,0
Your order #4418 has shipped,0
Class registration confirmation – Operations Management,0
Last Chance to Register — Subsurface Live Is Tomorrow ✅,1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… – Offer Ends Tonight",1
Payment received – thank you,0
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 ✅",1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ #364231,1
Class registration confirmation – Data Structures,0
Notes from today's lecture – LangChain agents,0
Reminder: Doctor appointment on 6/3/2024 at 2:00 PM,0
Re: Project status update for Q3 2025,0
Family photos from our trip to Bangalore,0
Don't miss out on your free trial. #630264,1
Re: Project status update for Q1 2024,0
Your old TV setup is outdated… try this 👇 #5290677042 (Limited Time),1
Family photos from our trip to San Francisco,0
Sprint 3702 planning meeting – Thu 9:00 AM,0
Invoice #3263 for consulting services,0
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ – Offer Ends Tonight,1
Welcome to the portfolio assistant beta program,0
Meeting notes: Data Platform Team architecture review,0
Re: Question about LangChain agents,0
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) #996574,1
Payment received – thank you,0
Sprint 4697 planning meeting – Fri 2:00 PM,0
Welcome to the portfolio assistant beta program,0
Sprint 6848 planning meeting – Fri 4:15 PM,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 – Offer Ends Tonight",1
Zoom link for LangChain agents,0
Welcome to the RAG search beta program,0
Re: Project status update for Q2 2023,0
AWS billing statement for April 2024,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 #681134",1
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live ✅,1
Experience ultra-HD streaming at zero cost🎟️  #1264448583 ✅,1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts – Offer Ends Tonight,1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ ✅,1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty ✅",1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained – Offer Ends Tonight",1
The $1.9 trillion industry AI is about to demolish,1
Re: Project status update for Q2 2023,0
AWS billing statement for May 2023,0
Payment received – thank you,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now!",1
Performance review discussion – January,0
Last Chance to Register — Subsurface Live Is Tomorrow 🔥,1
Your order #2661 has shipped,0
Sprint 6796 planning meeting – Fri 9:00 AM,0
Reminder: Doctor appointment on 19/6/2025 at 11:30 AM,0
Performance review discussion – August,0
Your old TV setup is outdated… try this 👇 #5290677042 (Limited Time),1
Your old TV setup is outdated… try this 👇 #5290677042,1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts 🔥,1
Family photos from our trip to New York,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) #875232,1
Zoom link for feature flags,0
Don't miss out on your free trial.,1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF – Offer Ends Tonight,1
Experience ultra-HD streaming at zero cost🎟️  #1264448583 ✅,1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect…",1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… ✅",1
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Re: Project status update for Q1 2024,0
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻",1
Your order #2052 has shipped,0
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained #156213",1
GitHub: New sign-in from US,0
Board meeting agenda – April 2025,0
Open Source Is Leading the Next Wave — See the Future at Subsurface Live – Offer Ends Tonight,1
Invoice #4538 for consulting services,0
Meeting notes: Drexel architecture review,0
Performance review discussion – April,0
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Reminder: Doctor appointment on 2/10/2024 at 2:00 PM,0
The dirty secret of financial newsletters,1
Calendar invite: 1:1 with Christin,0
Your order #1778 has shipped,0
Class registration confirmation – Operations Management,0
Family photos from our trip to San Francisco,0
Sprint 7399 planning meeting – Fri 4:15 PM,0
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… ✅",1
Experience ultra-HD streaming at zero cost🎟️  #1264448583,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained",1
Sprint 4620 planning meeting – Tue 2:00 PM,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! – Offer Ends Tonight",1
Sprint 8194 planning meeting – Fri 11:30 AM,0
Don't miss out on your free trial. (Limited Time),1
